Program,Hubspot ID,Time Zone,Program Name,Current Cohort,Deposit Paid Date,Status,payment_status,Current Payment Status,Payment Mode,Call Status,Upfront/Non-Upfront payment,Original SSA
Agentic SkillUp,199695900849,America/New_York,Applied Agentic AI Program for PM/TPM,Applied Agentic AI - 2nd mid-July 2026,14-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Manish
EdgeUp,205381678165,America/Chicago,EdgeUp 2026 Fullstack LevelUp Program (with Agentic AI Interview Prep),"Applied Agentic AI for SWEs - Early-May 2026
",14-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Zeeshan
EdgeUp,212467066256,America/New_York,EdgeUp 2026 Technical Program Manager LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI - 2nd Mid-April 2026,13-Apr-2026,ENROLLED,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded,Upfront Payment,Safoora
EdgeUp,212543592783,America/Los_Angeles,EdgeUp 2026 Backend LevelUp Program (with Agentic AI Interview Prep),"
Applied Agentic AI for SWEs - 2nd Mid-April 2026",13-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,PAYPAL,Onboarded,Upfront Payment,Zeeshan
Advanced ML,215203770500,America/Phoenix,Advanced Machine Learning Program (with Agentic AI),Advanced Machine Learning Program - End-May 2026,13-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Pragya
Agentic SkillUp,9598397,America/Los_Angeles,AI Engineering,Applied Agentic AI for SWEs - 2nd Mid-April 2026,14-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Sharon
Level Up,9282328,America/Los_Angeles,Backend Engineering Interview Prep Program,Backend Interview Prep - End-April 2026,15-Apr-2026,ENROLLED_WITH_NO_DUES,Refunded,Refunded,PAYPAL,Onboarded,Upfront Payment,Arshia
EdgeUp,104960901,America/Los_Angeles,EdgeUp 2026 Backend LevelUp Program (with Agentic AI Interview Prep),Applied Agentic AI for SWEs - 2nd Mid-May 2026,14-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,STRIPE_CARD,Onboarded Via Calendly,Upfront Payment,Sharon
EdgeUp Step Up,106473201,America/Los_Angeles,EdgeUp Test Engineering StepUp Program (with Agentic AI),,14-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Refunded,CLIMBCREDIT,Incomplete OB ,Upfront Payment,Sudhanshu
EdgeUp Step Up,170959351,America/New_York,EdgeUp Engineering Management StepUp Program (with Agentic AI),Applied Agentic AI for EM's - 2nd Mid-April 2026,15-Apr-2026,FULL_PAYMENT_PAID,has_paid_in_full,Fully Paid,STRIPE_MANUAL_PAYMENT,Onboarded,Upfront Payment,Safoora
Agentic SkillUp,249416701,America/Los_Angeles,Applied Agentic AI Program for SWEs,Applied Agentic AI Pathway for SWEs - Early-February 2026,14-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Sudhanshu
EdgeUp,538551851,America/New_York,EdgeUp 2026 Site Reliability Engineering & DevOps LevelUp Program (with Agentic AI Interview Prep),SRE Interview Prep - 2nd Mid-April 2026,15-Apr-2026,ENROLLED,Flexipay_has_time_to_pay,Flexipay_has_time_to_pay,0_PERCENT_APR_FLEXIPAY,Onboarded,Flexipay,Zeeshan
Agentic SkillUp,540378801,America/New_York,Applied Agentic AI Program for PM/TPM,Applied Agentic AI - Early-May 2026,14-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,ACH_TRANSFER,Onboarded,Upfront Payment,Archi
Level Up,113304234894,America/Phoenix,Data Analyst & Business Analyst Interview Preparation Program,Data Analyst & Business Analyst Interview Prep - Mid-May 2026,14-Apr-2026,ENROLLED_WITH_NO_DUES,has_paid_in_full,Fully Paid,CLIMBCREDIT,Onboarded,Upfront Payment,Ajil
